Concept,RADx Global Prompt,RADx Global Variable,RADx Global Response Options,RADx-UP Prompt,RADx-UP Variable,RADx-UP Reponse Options,Comment
Identity,User ID,nih_record_id,text ,Record ID,record_id,text,
Race,What is your race?,nih_race,"0, American Indian or Alaska Native;1, Black or African American;2, Asian;3, Native Hawaiian or  Other Pacific Islander;4, White;5, Middle Eastern or North African;6, Two or more races;97, Some other race;98, Do not know;99, Prefer not to answer","What is your race?

Mark one or more boxes AND print origins.",race_ethn_race,"1, American Indian or Alaska Native | 2, Black or African American | 3, Asian | 4, Native Hawaiian or  Other Pacific Islander |5, White|15, Some other race |99, Prefer not to answer",Check all that apply
Ethnicity,Are you of Hispanic or Latino origin? May include Spanish origin.,nih_ethnicity,"0, No, not of Hispanic or Latino origin;1, Yes, of Hispanic or Latino origin;97, Other;98, Don't Know;99, Prefer not to answer","Are you of Hispanic, Latino, or Spanish origin?",race_ethn_hispanic,"0, No, not of Hispanic, Latino, or Spanish origin | 1, Yes, of Hispanic, Latino, or Spanish origin | 99, Prefer not to answer",
Age,What is your age?,nih_age,text,"Age

For babies less than 1 year old, do not write the age in months. Write 0 as the age.",age_yrs,integer,Years
Sex,What is your biological sex assigned at birth?,nih_sex,"0, Female;1, Male;2, Intersex;3, Non-binary;96, None of these describe me;99, Prefer not to answer",What was your sex assigned at birth?,bio_sex_birth,"1, Female | 0, Male | 2, Non-binary | 96, None of these describe me | 99, Prefer not to answer",
Education Level,What is the highest level of education you have achieved outside or in the United States?,nih_education,"0,Have never gone to school; 1,Some school (Includes any education received below highschool graduate level); 2,High school graduate or GED completed; 3,Some college (graduated or not), associates degree, technical degree, or vocational degree; 4,Bachelor's degree; 5,Other advanced degree (Master's, Doctorate, or Professional Doctorate); 97,Other; 98,Don't know; 99,Prefer not to answer ",What is the highest level of education you have achieved outside or in the United States?  Grades roughly equivalent to years of school.,edu_years_of_school,"0, Have never gone to school|1,5th grade or less|2,6th to 8th grade|3,9th to 12th grade, no diploma  |4,High school graduate or GED completed  |5,Some college level/ Technical / Vocational degree  |6,Bachelor's degree  |7,Other advanced degree (Master's, Doctoral degree)| 98, Prefer not to answer |99,Don't know",
Education Years,How many years of education have you completed?,nih_education_yrs,text,,,,
Domicile,What is your zip code?,nih_zip,text,Zip Code,zip_code,5 digit value,zipcode
Employment,Please specify your employment status.,nih_employment,"0, Yes - Employed;1, No - Not Employed;2, Student;3, Keeping household;4, Retired;5, Disabled or government support;97, Other;98, Don’t know;99, Prefer not to answer","We would like to know about what you do -- are you working now, looking for work, retired, keeping house, a student, or something else?",current_employment_status,"1, Working now | 2, Only temporarily laid off, sick leave or maternity leave | 3, Looking for work, unemployed | 4, Retired | 5, Disabled, permanently or temporarily | 6, Keeping house | 7, Student | 96, Other (Specify)| 98, Prefer not to answer | 99, Don't know","Exclude plans that pay for only one type of 
Service (such as, nursing home care, accidents, 
family planning, or dental care) and plans that 
only provide extra cash when hospitalized.
"
Insurance Status,What kind of health insurance do you have?,nih_insurance,"0, None;1, Private;2, Public;97, Other;98, Don't know;99, Prefer not to answer",What is the primary kind of health insurance or health care plan that you have now?,hi_coverage_type,"0, I do NOT have health insurance| 1, Private (purchased directly or through Employment)| 2, Public (Medicare, Medicaid, Tricare) | 98, Don't know | 99, Prefer not to answer",
